Run,Efficiency,Epack_Wh_kg,L_over_D,Harvest_kW,SiC_Gain,Range_km
1091,0.8503647856617,492.381028429021,21.7998430192375,20.2344587985876,1,5285.41360995687
1092,0.98,315.070081315982,23.4143824168834,13.0597949836004,1.18139547934151,3898.00429337257
1093,0.836044474931817,565.014285991299,17.833255264898,16.1091958460746,1,5945.11741330525
1094,0.88901435678152,389.867716931236,20.2170212008009,14.2759316836297,1.00208433212866,4370.54949463832
1095,0.864916141495451,324.830939188676,18.4830802037763,18.4202885358307,1.00884219496765,3559.6900466746
1096,0.866265281518235,499.624123346085,15.978918123562,6.41597468162911,1.07052931771714,5426.7617066376
1097,0.98,688.291746767034,16.27178173451,9.39261171281384,1,8459.18817633184
1098,0.858478390286764,493.176362720264,24.1955658710713,12.1766333696074,1.01536173088108,5323.62575478742
1099,0.937535102764875,536.758032460523,26.9438301210781,14.5949345847227,1.2452419076661,6331.41850452156
1100,0.807478255220751,543.628886890839,26.634317659642,7.67725029909178,1.13398331364699,5505.70395145688
1101,0.98,472.86444453184,23.7691567224463,13.5811256242377,1,5832.5179548503
1102,0.853183970334721,342.041399005121,16.4007520199327,11.5708511274462,1.37651384617079,3677.4191793906
1103,0.955354094092927,427.269219397608,21.53286728695,2.43221015371403,1,5109.38834117656
1104,0.965457391781681,441.80250502685,18.6947157145529,16.6734192925111,1,5380.06110502964
1105,0.826695216316582,346.691235465517,19.6216101368682,23.5878507052781,1.48788465076629,3641.09971375159
1106,0.98,479.388407550143,22.1615896983518,13.2933070769923,1.16382357135014,5911.5903152956
1107,0.98,448.518166434546,22.2606873819659,16.4782901734685,1.09775773658336,5542.79371193318
1108,0.900660153763917,200,20.0953723239495,19.2405523485238,1,2303.63798091996
1109,0.87979974294521,400.050453173591,21.3363098214867,14.3342518363905,1,4437.38738658341
1110,0.98,552.099638079349,27.1950897345128,17.8034890900908,1.16417566091333,6815.56282439689
1111,0.98,200,26.2679571805248,13.1915175947173,1,2488.78306172847
1112,0.868769159542466,499.94733207219,20.687002044775,15.0618208662003,1.0841108386442,5468.4910301135
1113,0.844448871557256,447.332463606691,27.9779016316113,0,1.13150237266012,4721.86742629497
1114,0.98,443.144872910969,28.3478117193646,16.9427650358827,1,5478.33642236486
1115,0.967791494209867,503.002780519429,19.9686141936678,19.1739050175937,1.39743024554026,6140.69168344315
1116,0.98,571.767316562252,20.7311439178976,6.38249473228456,1.26735073510623,7022.91416240051
1117,0.902798012025668,387.056341288566,22.0423975060072,11.7825342632429,1.36189098714729,4399.83293874402
1118,0.95440638737959,514.793035384461,25.1034001527612,21.9621743686276,1,6204.4045328627
1119,0.892559315859854,484.995916882407,25.042703286672,13.5137578123454,1,5447.28078837534
1120,0.81573740638306,345.733768953292,15.3634824608589,15.0545800356487,1.07438899760108,3562.19135202988
1121,0.943071316394654,584.282527579648,21.513076098867,22.287217137171,1,6950.80646099965
1122,0.98,609.326695506026,22.7916374924614,18.390232304683,1.59520088386867,7518.31930292459
1123,0.853687397602978,488.811519165278,22.0264630783716,16.5794732798975,1,5258.61398362589
1124,0.910856499284434,521.780658659619,18.8152037962641,21.9821012530584,1.0730702248953,6000.90892114566
1125,0.98,525.938845110847,27.0799670699784,21.3014969345711,1,6505.37725359551
1126,0.938655473951232,508.726802934842,24.8526369567841,13.586263770179,1.21046740221462,6007.24844158151
1127,0.98,531.978742318028,24.8394516469405,14.6466177571964,1,6559.800649602
1128,0.98,569.098156849607,25.4918209756195,12.9559814281263,1.04459889115628,7009.54300680638
1129,0.830311510902875,481.720696935014,24.2856454679676,26.4504369641347,1,5065.61430315542
1130,0.98,501.004320071242,21.8494975735242,19.4825160820234,1.39056324052516,6194.58151815386
1131,0.95786212695485,505.653235474336,22.8631774238489,3.16568362645877,1,6063.42291076823
1132,0.98,263.598052911504,18.7093966646853,32.0333667600036,1.27855826665515,3323.25424644033
1133,0.802631180288781,701.46326732835,23.5904144156434,14.6700334840707,1.35981175925714,7073.02750618282
1134,0.890350514504558,573.940527583256,17.8455424500729,10.8943523469606,1,6416.70242701155
1135,0.98,200,23.7163403015416,15.2908125415419,1.25175662268558,2494.95498887213
1136,0.85505489732275,470.979107283614,19.284110971158,13.0316652837869,1,5067.34077040791
1137,0.770379584286883,265.308853129199,18.4296714056011,25.8598864658809,1.37066978921813,2614.62233552215
1138,0.98,410.739044513478,17.5657593802163,11.2957495296294,1.10393620775602,5064.76279890722
1139,0.98,589.670211281863,25.2739765188914,18.5649463818043,1,7278.04103056532
1140,0.860807999395062,602.789456849887,22.1166034502005,15.4375610784231,1.06301151714979,6525.94115829471
1141,0.98,451.87900877755,18.4000506525131,3.11641485577407,1,5544.68011720096
1142,0.953635189986222,340.381669981391,18.5005977662826,21.8577264057502,1.72008185151253,4120.03212272748
1143,0.922970690611551,415.825421522533,17.5744924332754,15.2070386251425,1,4839.54040878216
1144,0.98,482.59361546822,17.6119087239038,11.1300637024441,1.13449330447857,5944.49417677088
1145,0.891226747056622,628.167190143888,28.2599533335755,14.1658681044828,1.04952291838524,7035.86752014542
1146,0.887083087997966,473.842965524669,20.5935002113567,22.792867835364,1.54171726245227,5314.88351629789
1147,0.893839946502431,378.263435807414,20.2840999176336,10.9110466924525,1,4255.59530349966
1148,0.922058748514456,460.122917484225,17.6025994956055,11.51473396263,1.104005253108,5335.10630179024
1149,0.932618729247964,469.898533428908,20.5078519249583,8.04483903216518,1.06952459218413,5500.46046668992
1150,0.98,502.547956518044,22.1303310789252,10.2607655874516,1.1693268082179,6186.37911817315
1151,0.98,347.26764964534,22.8613334553775,25.3624270154577,1,4328.59424358086
1152,0.941576852929562,473.985216446435,20.4408203651653,14.6584075532271,1,5620.07490721842
1153,0.98,463.195297561198,18.8223200990093,13.902064199244,1,5715.01446387046
1154,0.786611272595816,688.015012689114,21.1852308755844,12.2449531421789,1.19044845341766,6793.90061322727
1155,0.86199351877387,401.817628350966,19.8025111197437,12.3356443197481,1,4361.45212845583
1156,0.98,478.455426593692,18.2505166776469,26.7377628442816,1.13314509166657,5939.68799853491
1157,0.800621957591725,647.823069321337,27.0589874838164,14.4609388077542,1,6518.00040957475
1158,0.84296996772632,260.037314454558,24.548563959724,23.5594206365954,1.23290306713731,2799.62523432851
1159,0.98,542.971480181121,22.5234584242292,14.7792034367868,1.19784220297159,6694.85149032289
1160,0.876128119681269,538.074237901194,20.8687284988376,12.6857274133617,1.08559756436654,5926.11759628268
1161,0.962715040267222,200,20.8764745680937,21.8273443782884,1,2469.82813883427
1162,0.901880870527573,408.454157156379,22.5048692464501,14.4714873132293,1,4643.86705806266
1163,0.834351559160896,547.583774179437,23.7990961431583,18.237657619539,1,5756.61705118368
1164,0.798215540552168,261.486189164951,24.7151367321735,26.1912228177411,1,2671.7479711279
1165,0.94806748251059,477.637010109598,19.8087111441341,6.49162774793618,1.27283486957737,5678.8649751353
